N=4    00:00:00:000:000:700
N=5    00:00:00:000:000:400
N=6    00:00:00:000:002:700
N=7    00:00:00:000:001:000
N=8    00:00:00:000:013:600
N=9    00:00:00:000:004:800
N=10    00:00:00:000:017:700
N=11    00:00:00:000:010:000
N=12    00:00:00:000:060:000
N=13    00:00:00:000:026:400
N=14    00:00:00:000:607:100
N=15    00:00:00:000:432:400
N=16    00:00:00:002:875:300
N=17    00:00:00:002:213:500
N=18    00:00:00:014:775:800
N=19    00:00:00:001:122:500
N=20    00:00:00:083:225:300
N=21    00:00:00:004:416:100
N=22    00:00:00:843:317:700
N=23    00:00:00:012:738:800
N=24    00:00:00:215:683:900
N=25    00:00:00:026:828:100
N=26    00:00:00:235:833:500
N=27    00:00:00:281:372:100
N=28    00:00:02:010:962:000
N=29    00:00:01:086:456:400
