Codigo; N; Max de bytes usados 
CODIGO1 - Lista enlazada; 10; 176
CODIGO1 - Lista enlazada; 20; 336
CODIGO1 - Lista enlazada; 30; 496
CODIGO1 - Lista enlazada; 40; 656
CODIGO1 - Lista enlazada; 50; 816
CODIGO1 - Lista enlazada; 60; 976
CODIGO1 - Lista enlazada; 70; 1136
CODIGO1 - Lista enlazada; 80; 1296
CODIGO1 - Lista enlazada; 90; 1456
CODIGO1 - Lista enlazada; 100; 1616
CODIGO1 - Lista enlazada; 110; 1776
CODIGO1 - Lista enlazada; 120; 1936
CODIGO1 - Lista enlazada; 130; 2096
CODIGO1 - Lista enlazada; 140; 2256
CODIGO1 - Lista enlazada; 150; 2416
CODIGO1 - Lista enlazada; 160; 2576
CODIGO1 - Lista enlazada; 170; 2736
CODIGO1 - Lista enlazada; 180; 2896
CODIGO1 - Lista enlazada; 190; 3056
CODIGO1 - Lista enlazada; 200; 3216
CODIGO1 - Lista enlazada; 210; 3376
CODIGO1 - Lista enlazada; 220; 3536
CODIGO1 - Lista enlazada; 230; 3696
CODIGO1 - Lista enlazada; 240; 3856
CODIGO1 - Lista enlazada; 250; 4016
CODIGO1 - Lista enlazada; 260; 4176
CODIGO1 - Lista enlazada; 270; 4336
CODIGO1 - Lista enlazada; 280; 4496
CODIGO1 - Lista enlazada; 290; 4656
CODIGO1 - Lista enlazada; 300; 4816
CODIGO1 - Lista enlazada; 310; 4976
CODIGO1 - Lista enlazada; 320; 5136
CODIGO1 - Lista enlazada; 330; 5296
CODIGO1 - Lista enlazada; 340; 5456
CODIGO1 - Lista enlazada; 350; 5616
CODIGO1 - Lista enlazada; 360; 5776
CODIGO1 - Lista enlazada; 370; 5936
CODIGO1 - Lista enlazada; 380; 6096
CODIGO1 - Lista enlazada; 390; 6256
CODIGO1 - Lista enlazada; 400; 6416
CODIGO1 - Lista enlazada; 410; 6576
CODIGO1 - Lista enlazada; 420; 6736
CODIGO1 - Lista enlazada; 430; 6896
CODIGO1 - Lista enlazada; 440; 7056
CODIGO1 - Lista enlazada; 450; 7216
CODIGO1 - Lista enlazada; 460; 7376
CODIGO1 - Lista enlazada; 470; 7536
CODIGO1 - Lista enlazada; 480; 7696
CODIGO1 - Lista enlazada; 490; 7856
CODIGO1 - Lista enlazada; 500; 8016
